Date,Cow_ID,Breed,Milk_Yield_kg,Feed_Intake_kg,Lactation_Stage,Health_Score,Temperature_C,Humidity_%,Milk_Price_USD_per_kg,Revenue_USD,Feed_Cost_USD,Profit_USD
2021-01-01,Cow_1,Jersey,18.17,16.91,Early,97,7.6,83.0,0.45,8.18,4.23,3.95
2021-01-01,Cow_2,Brown Swiss,11.84,16.28,Mid,89,7.6,83.0,0.45,5.33,4.07,1.26
2021-01-01,Cow_3,Jersey,17.99,13.9,Early,79,7.6,83.0,0.45,8.1,3.48,4.62
2021-01-01,Cow_4,Jersey,24.36,18.97,Early,92,7.6,83.0,0.45,10.96,4.74,6.22
2021-01-01,Cow_5,Guernsey,20.76,19.87,Mid,91,7.6,83.0,0.45,9.34,4.97,4.37
2021-01-01,Cow_6,Brown Swiss,18.14,28.24,Late,99,7.6,83.0,0.45,8.16,7.06,1.1
2021-01-01,Cow_7,Holstein,22.05,19.39,Mid,87,7.6,83.0,0.45,9.92,4.85,5.07
2021-01-01,Cow_8,Jersey,21.34,18.37,Late,94,7.6,83.0,0.45,9.6,4.59,5.01
2021-01-01,Cow_9,Guernsey,18.03,23.63,Late,84,7.6,83.0,0.45,8.11,5.91,2.2
2021-01-01,Cow_10,Guernsey,16.99,22.86,Late,83,7.6,83.0,0.45,7.65,5.71,1.94
2021-01-01,Cow_11,Guernsey,15.7,22.96,Mid,93,7.6,83.0,0.45,7.06,5.74,1.32
2021-01-01,Cow_12,Jersey,16.38,17.77,Late,82,7.6,83.0,0.45,7.37,4.44,2.93
2021-01-01,Cow_13,Guernsey,23.95,27.05,Late,94,7.6,83.0,0.45,10.78,6.76,4.02
2021-01-01,Cow_14,Guernsey,26.18,22.58,Mid,73,7.6,83.0,0.45,11.78,5.64,6.14
2021-01-01,Cow_15,Brown Swiss,17.83,21.44,Late,92,7.6,83.0,0.45,8.02,5.36,2.66
2021-01-01,Cow_16,Jersey,23.0,24.94,Late,91,7.6,83.0,0.45,10.35,6.24,4.11
2021-01-01,Cow_17,Brown Swiss,17.56,19.18,Mid,85,7.6,83.0,0.45,7.9,4.79,3.11
2021-01-01,Cow_18,Jersey,16.46,20.28,Late,74,7.6,83.0,0.45,7.41,5.07,2.34
2021-01-01,Cow_19,Brown Swiss,24.77,22.13,Mid,78,7.6,83.0,0.45,11.15,5.53,5.62
2021-01-01,Cow_20,Brown Swiss,21.0,24.79,Mid,84,7.6,83.0,0.45,9.45,6.2,3.25
2021-01-01,Cow_21,Holstein,16.39,18.52,Late,81,7.6,83.0,0.45,7.38,4.63,2.75
2021-01-01,Cow_22,Guernsey,16.36,23.75,Early,90,7.6,83.0,0.45,7.36,5.94,1.42
2021-01-01,Cow_23,Brown Swiss,16.37,19.84,Mid,77,7.6,83.0,0.45,7.37,4.96,2.41
2021-01-01,Cow_24,Guernsey,29.04,22.32,Mid,97,7.6,83.0,0.45,13.07,5.58,7.49
2021-01-01,Cow_25,Jersey,22.94,18.04,Mid,74,7.6,83.0,0.45,10.32,4.51,5.81
2021-01-01,Cow_26,Guernsey,20.58,26.27,Late,74,7.6,83.0,0.45,9.26,6.57,2.69
2021-01-01,Cow_27,Guernsey,20.57,12.17,Early,72,7.6,83.0,0.45,9.26,3.04,6.22
2021-01-01,Cow_28,Brown Swiss,15.73,17.02,Late,95,7.6,83.0,0.45,7.08,4.25,2.83
2021-01-01,Cow_29,Brown Swiss,21.51,17.3,Mid,70,7.6,83.0,0.45,9.68,4.33,5.35
2021-01-01,Cow_30,Jersey,12.51,21.83,Late,76,7.6,83.0,0.45,5.63,5.46,0.17
2021-01-01,Cow_31,Holstein,24.03,14.85,Early,83,7.6,83.0,0.45,10.81,3.71,7.1
2021-01-01,Cow_32,Brown Swiss,18.07,20.04,Mid,77,7.6,83.0,0.45,8.13,5.01,3.12
